age,year_income,work_experience,credit_grade,percentage_rate,credit_percent_income,cb_person_default,cb_person_cred_hist_length,home_status_OTHER,home_status_OWN,home_status_RENT,credit_purpose_EDUCATION,credit_purpose_HOMEIMPROVEMENT,credit_purpose_MEDICAL,credit_purpose_PERSONAL,credit_purpose_VENTURE,credit_history_ratio
23,36000,7.0,5,11.49,0.06,0,2,0,0,0,1,0,0,0,0,0.4
22,31200,1.0,5,11.99,0.1,0,4,0,0,1,1,0,0,0,0,1.0
26,165000,10.0,4,13.22,0.12,1,2,0,0,0,1,0,0,0,0,0.25
48,185000,2.0,1,20.62,0.05,0,14,0,0,0,0,0,0,0,1,0.4666666666666667
23,47004,3.0,4,12.53,0.09,1,4,0,0,1,1,0,0,0,0,0.8
22,20800,1.0,6,6.91,0.35,0,4,0,0,1,0,0,0,0,0,1.0
24,32000,2.0,4,12.68,0.12,1,4,0,0,1,1,0,0,0,0,0.6666666666666666
25,94000,9.0,5,10.65,0.32,0,4,0,0,0,0,1,0,0,0,0.5714285714285714
23,42000,0.0,6,6.92,0.2,0,3,0,0,1,1,0,0,0,0,0.6
22,93240,6.0,6,9.63,0.08,0,2,0,0,0,0,0,0,1,0,0.5
32,41464,16.0,6,8.32,0.08,0,9,0,0,0,0,0,0,0,0,0.6428571428571429
36,16800,2.0,4,13.06,0.07,0,14,0,0,1,0,0,0,0,1,0.7777777777777778
24,54000,3.0,4,13.49,0.04,1,4,0,0,1,0,0,1,0,0,0.6666666666666666
28,51000,2.0,2,16.32,0.31,1,9,0,0,1,1,0,0,0,0,0.9
29,60000,4.0,6,8.59,0.17,0,5,0,0,1,0,0,0,0,0,0.45454545454545453
33,70000,0.0,4,13.57,0.04,1,9,0,0,0,0,0,0,0,0,0.6
28,39750,5.0,6,8.49,0.18,0,8,0,0,1,1,0,0,0,0,0.8
22,49000,7.0,6,6.62,0.15,0,3,0,0,1,0,0,0,1,0,0.75
32,57000,11.0,4,13.35,0.16,1,5,0,0,0,0,0,1,0,0,0.35714285714285715
25,26400,5.0,6,8.49,0.2,0,3,0,0,1,1,0,0,0,0,0.42857142857142855
23,28800,0.0,5,11.49,0.17,0,2,0,0,1,1,0,0,0,0,0.4
37,90000,15.0,6,7.51,0.13,0,11,0,0,1,0,1,0,0,0,0.5789473684210527
37,88000,21.0,6,7.51,0.14,0,17,0,0,0,0,0,0,0,1,0.8947368421052632
29,34000,0.0,5,12.53,0.29,0,6,0,0,1,0,0,0,0,0,0.5454545454545454
21,61000,6.0,4,10.99,0.1,0,3,0,0,0,0,0,0,1,0,1.0
23,45204,0.0,5,12.21,0.11,0,4,0,0,0,1,0,0,0,0,0.8
27,120000,11.0,6,5.99,0.07,0,6,0,0,0,0,0,0,1,0,0.6666666666666666
23,84000,7.0,6,8.9,0.21,0,3,0,1,0,1,0,0,0,0,0.6
25,43000,4.0,6,7.66,0.23,0,3,0,0,1,1,0,0,0,0,0.42857142857142855
35,130000,6.0,5,10.99,0.03,0,7,0,0,1,0,0,0,0,1,0.4117647058823529
23,72000,7.0,4,13.61,0.11,1,2,0,0,0,0,0,1,0,0,0.4
33,135000,0.0,6,6.91,0.05,0,7,0,1,0,0,1,0,0,0,0.4666666666666667
35,80000,0.0,5,8.88,0.09,0,5,0,0,1,0,0,0,0,0,0.29411764705882354
50,68000,5.0,5,11.49,0.15,0,13,0,0,0,0,0,0,1,0,0.40625
22,47000,0.0,5,10.65,0.14,0,2,0,0,1,0,0,0,0,1,0.5
21,63000,5.0,5,10.99,0.18,0,4,0,0,0,0,0,0,0,0,1.3333333333333333
21,15000,4.0,3,10.99,0.15,0,4,0,0,1,0,0,0,0,1,1.3333333333333333
36,138000,0.0,4,13.98,0.07,0,12,0,0,0,0,0,0,0,1,0.6666666666666666
27,65000,11.0,5,10.37,0.12,0,6,0,0,1,1,0,0,0,0,0.6666666666666666
25,113000,7.0,4,12.73,0.22,1,4,0,0,1,0,0,1,0,0,0.5714285714285714
24,43995,4.0,4,13.99,0.17,1,4,0,0,1,0,0,0,1,0,0.6666666666666666
26,87000,9.0,4,12.73,0.29,0,2,0,0,0,0,0,0,0,0,0.25
21,40000,4.0,6,5.79,0.13,0,2,0,0,1,1,0,0,0,0,0.6666666666666666
25,40000,9.0,4,13.49,0.09,1,3,0,0,0,0,0,1,0,0,0.42857142857142855
26,78000,2.0,4,14.72,0.03,1,3,0,1,0,0,0,0,0,1,0.375
22,54000,6.0,4,12.98,0.11,0,3,0,0,1,0,0,0,1,0,0.75
29,48712,13.0,6,5.42,0.23,0,9,0,0,0,0,0,0,0,1,0.8181818181818182
36,52000,2.0,4,13.85,0.13,1,14,0,0,1,1,0,0,0,0,0.7777777777777778
25,19200,5.0,3,14.11,0.31,0,3,0,0,1,1,0,0,0,0,0.42857142857142855
26,60000,4.0,6,6.03,0.17,0,4,0,0,0,1,0,0,0,0,0.5
24,132132,8.0,6,8.49,0.21,0,3,0,0,0,0,0,1,0,0,0.5
26,32000,3.0,6,6.03,0.16,0,2,0,0,1,0,0,0,0,0,0.25
25,50000,3.0,3,14.61,0.08,0,2,0,0,1,1,0,0,0,0,0.2857142857142857
22,40000,6.0,6,7.43,0.13,0,4,0,0,1,0,0,1,0,0,1.0
25,90996,5.0,4,12.23,0.15,0,2,0,0,1,0,0,1,0,0,0.2857142857142857
25,36000,0.0,4,13.49,0.21,0,4,0,0,1,0,0,0,0,0,0.5714285714285714
31,40000,9.0,6,10.99,0.04,0,8,0,0,1,0,0,0,0,1,0.6153846153846154
23,100000,5.0,4,11.34,0.15,1,2,0,0,0,0,0,0,0,0,0.4
35,66000,4.0,6,6.03,0.05,0,7,0,0,0,0,0,0,0,1,0.4117647058823529
39,75000,6.0,6,7.88,0.21,0,14,0,0,0,0,0,0,0,0,0.6666666666666666
36,58000,12.0,6,6.54,0.37,0,14,0,0,0,0,0,0,1,0,0.7777777777777778
36,60000,2.0,5,10.99,0.25,0,12,0,0,1,0,1,0,0,0,0.6666666666666666
27,44000,1.0,3,16.89,0.11,1,10,0,0,1,0,0,0,0,1,1.1111111111111112
31,75000,4.0,4,13.49,0.05,1,8,0,0,1,0,0,1,0,0,0.6153846153846154
27,27000,1.0,6,7.88,0.19,0,8,0,0,1,0,0,0,0,0,0.8888888888888888
23,148000,1.0,2,14.93,0.17,0,3,0,0,1,0,0,0,0,0,0.6
21,65496,3.0,5,10.37,0.2,0,4,0,0,0,0,0,0,0,1,1.3333333333333333
24,24000,2.0,6,6.92,0.42,0,4,0,1,0,0,0,0,0,1,0.6666666666666666
41,45840,5.0,5,10.99,0.1,0,16,0,0,1,0,0,0,1,0,0.6956521739130435
29,60000,13.0,6,7.51,0.23,0,5,0,0,0,0,0,1,0,0,0.45454545454545453
30,30240,1.0,4,14.72,0.17,1,10,0,0,1,1,0,0,0,0,0.8333333333333334
36,54996,4.0,4,13.47,0.18,0,13,0,0,1,0,0,1,0,0,0.7222222222222222
25,60000,3.0,6,6.91,0.28,0,2,0,0,1,0,0,0,1,0,0.2857142857142857
23,112800,3.0,5,10.99,0.31,0,4,0,0,0,0,0,0,0,0,0.8
32,34000,4.0,6,5.99,0.22,0,7,0,0,0,0,1,0,0,0,0.5
22,40000,5.0,5,10.74,0.2,0,3,0,0,0,0,0,1,0,0,0.75
35,49800,3.0,6,7.14,0.12,0,6,0,0,0,0,0,0,1,0,0.35294117647058826
25,80000,4.0,4,12.61,0.19,1,4,0,0,0,0,0,0,0,1,0.5714285714285714
22,88000,6.0,1,18.09,0.28,0,2,0,0,0,0,0,0,0,0,0.5
33,25000,4.0,4,13.43,0.34,0,6,0,0,1,0,0,0,0,0,0.4
24,91800,8.0,3,16.32,0.14,1,2,0,0,0,0,0,1,0,0,0.3333333333333333
31,42000,3.0,6,6.99,0.21,0,8,0,0,0,0,0,1,0,0,0.6153846153846154
39,114996,15.0,6,6.54,0.11,0,11,0,0,0,0,0,0,0,0,0.5238095238095238
22,25000,3.0,5,12.69,0.12,0,3,0,0,1,1,0,0,0,0,0.75
27,93600,1.0,5,10.36,0.03,0,9,0,0,1,0,0,0,0,0,1.0
23,41600,7.0,4,13.43,0.17,0,3,0,0,0,1,0,0,0,0,0.6
26,38004,3.0,4,13.35,0.26,0,2,0,0,0,0,0,0,0,1,0.25
23,12000,0.0,6,8.94,0.17,0,2,0,0,1,1,0,0,0,0,0.4
23,30000,3.0,5,10.99,0.19,0,4,0,0,1,0,0,0,0,1,0.8
23,24000,5.0,5,11.11,0.06,0,3,0,0,0,0,0,1,0,0,0.6
39,150000,9.0,6,8.9,0.2,0,11,0,0,0,0,0,1,0,0,0.5238095238095238
24,125000,6.0,6,6.76,0.04,0,3,0,0,1,0,0,0,1,0,0.5
37,78000,0.0,6,10.99,0.05,0,16,0,0,1,0,0,0,0,1,0.8421052631578947
30,20000,1.0,5,10.99,0.3,0,9,0,0,1,1,0,0,0,0,0.75
28,36888,5.0,4,10.99,0.33,1,7,0,0,1,0,0,1,0,0,0.7
23,30000,1.0,4,15.96,0.17,1,3,0,0,1,0,0,1,0,0,0.6
24,42000,8.0,3,15.28,0.06,0,2,0,0,0,0,1,0,0,0,0.3333333333333333
44,119000,0.0,6,6.17,0.05,0,14,0,0,1,0,0,0,0,0,0.5384615384615384
22,31000,5.0,5,11.58,0.47,0,3,0,0,1,0,0,0,1,0,0.75
24,43300,2.0,5,10.62,0.55,0,2,0,0,0,0,0,0,0,0,0.3333333333333333
22,28000,6.0,5,10.99,0.25,0,4,0,0,1,0,0,0,0,0,1.0
30,70000,7.0,6,10.99,0.14,0,7,0,0,0,0,0,0,0,0,0.5833333333333334
44,25209,6.0,4,10.99,0.08,1,13,0,0,1,0,0,1,0,0,0.5
37,12360,3.0,5,9.99,0.32,0,13,0,0,1,1,0,0,0,0,0.6842105263157895
31,47000,5.0,5,10.38,0.11,0,6,0,0,0,0,1,0,0,0,0.46153846153846156
30,93500,3.0,4,12.09,0.11,1,7,0,0,1,1,0,0,0,0,0.5833333333333334
22,48000,7.0,6,6.62,0.18,0,4,0,0,1,0,0,0,1,0,1.0
30,74797,14.0,2,18.79,0.05,1,7,0,0,0,0,0,1,0,0,0.5833333333333334
22,40000,1.0,5,8.88,0.4,0,3,0,0,1,1,0,0,0,0,0.75
23,48000,1.0,6,7.29,0.21,0,2,0,0,1,0,0,0,0,0,0.4
29,52000,3.0,4,14.27,0.21,0,5,0,0,1,0,0,0,0,0,0.45454545454545453
23,69000,1.0,3,14.09,0.13,1,3,0,0,1,1,0,0,0,0,0.6
27,24000,2.0,6,10.99,0.06,0,9,0,0,1,0,0,1,0,0,1.0
22,58608,6.0,6,6.03,0.2,0,4,0,0,0,1,0,0,0,0,1.0
22,52000,0.0,6,7.05,0.06,0,2,0,0,0,0,0,0,0,0,0.5
44,50000,5.0,4,13.16,0.26,1,13,0,0,1,0,0,0,0,1,0.5
22,50000,6.0,6,8.63,0.3,0,2,0,1,0,0,0,1,0,0,0.5
24,51600,8.0,5,10.65,0.06,0,3,0,0,1,0,0,1,0,0,0.5
26,59000,4.0,5,10.99,0.06,0,2,0,0,0,1,0,0,0,0,0.25
26,40000,0.0,4,13.23,0.04,1,3,0,0,1,0,0,0,0,1,0.375
22,51000,6.0,5,12.18,0.14,0,2,0,0,1,0,0,0,0,1,0.5
22,100000,7.0,6,6.91,0.2,0,4,0,0,0,1,0,0,0,0,1.0
32,37050,2.0,6,8.0,0.22,0,6,0,0,1,0,0,0,0,0,0.42857142857142855
32,99600,6.0,5,11.86,0.05,0,8,0,0,0,1,0,0,0,0,0.5714285714285714
22,42000,0.0,6,8.9,0.12,0,4,0,0,1,1,0,0,0,0,1.0
24,234000,8.0,5,8.88,0.09,0,4,0,1,0,0,1,0,0,0,0.6666666666666666
33,72000,0.0,5,10.99,0.09,0,9,0,0,0,0,0,0,0,0,0.6
27,70000,4.0,3,14.46,0.11,0,7,0,0,0,0,1,0,0,0,0.7777777777777778
25,75000,9.0,6,7.9,0.09,0,4,0,0,1,0,0,0,0,1,0.5714285714285714
23,95004,2.0,6,9.63,0.05,0,4,0,0,1,0,0,0,1,0,0.8
28,61000,3.0,5,10.37,0.08,0,7,0,0,1,0,0,0,0,1,0.7
42,58752,8.0,5,10.01,0.05,0,16,0,0,1,0,0,1,0,0,0.6666666666666666
22,30000,3.0,5,12.53,0.27,0,2,0,0,1,0,0,0,0,1,0.5
26,60000,10.0,6,8.94,0.1,0,4,0,0,0,0,0,0,0,0,0.5
24,36000,3.0,6,9.38,0.18,0,4,0,0,0,0,1,0,0,0,0.6666666666666666
28,70000,4.0,5,11.71,0.07,0,8,0,0,0,0,0,0,0,0,0.8
22,44400,4.0,6,8.49,0.17,0,4,0,0,1,0,0,0,0,0,1.0
23,30000,2.0,2,16.45,0.4,1,3,0,0,0,1,0,0,0,0,0.6
27,33000,7.0,6,6.76,0.12,0,9,0,0,1,1,0,0,0,0,1.0
25,53000,10.0,5,12.53,0.3,0,2,0,0,0,0,0,1,0,0,0.2857142857142857
22,29554,4.0,6,5.42,0.2,0,3,0,0,0,0,0,0,0,0,0.75
23,39600,5.0,5,10.62,0.48,0,2,0,0,1,1,0,0,0,0,0.4
28,42000,3.0,5,12.42,0.21,0,10,0,0,1,0,0,1,0,0,1.0
27,53000,6.0,6,10.99,0.09,0,7,0,0,0,0,0,0,0,1,0.7777777777777778
44,27000,5.0,6,6.99,0.06,0,15,0,0,1,1,0,0,0,0,0.5769230769230769
26,71000,9.0,5,10.99,0.04,0,4,0,0,1,0,0,1,0,0,0.5
22,47000,6.0,6,7.49,0.19,0,4,0,0,1,1,0,0,0,0,1.0
34,40000,11.0,6,7.29,0.15,0,7,0,0,0,0,0,0,0,1,0.4375
24,28800,0.0,4,10.99,0.16,1,4,0,0,1,1,0,0,0,0,0.6666666666666666
24,75000,8.0,3,10.99,0.16,0,4,0,0,1,0,0,0,1,0,0.6666666666666666
21,90000,5.0,5,11.26,0.18,0,4,1,0,0,0,0,1,0,0,1.3333333333333333
27,45600,3.0,6,8.49,0.03,0,9,0,0,0,0,0,0,0,0,1.0
30,64600,0.0,6,6.91,0.28,0,10,0,0,1,0,0,1,0,0,0.8333333333333334
29,40800,4.0,5,11.71,0.07,0,7,0,0,1,0,0,0,0,1,0.6363636363636364
23,62500,1.0,4,13.22,0.15,1,3,0,0,0,0,0,1,0,0,0.6
31,24000,3.0,6,7.49,0.13,0,10,0,0,0,0,0,0,0,1,0.7692307692307693
24,75000,0.0,6,6.54,0.09,0,3,0,1,0,0,0,0,1,0,0.5
25,90000,2.0,5,11.71,0.11,0,4,0,0,0,0,0,1,0,0,0.5714285714285714
23,45000,2.0,5,10.25,0.21,0,2,0,0,1,1,0,0,0,0,0.4
22,50000,1.0,6,8.32,0.15,0,4,0,0,1,0,0,0,1,0,1.0
23,60000,1.0,4,14.22,0.18,0,4,0,0,1,1,0,0,0,0,0.8
25,105000,3.0,4,12.84,0.11,0,3,0,0,0,0,0,0,0,1,0.42857142857142855
27,120000,11.0,5,11.14,0.08,0,6,0,0,0,0,1,0,0,0,0.6666666666666666
35,90000,3.0,5,11.99,0.12,0,10,0,0,1,0,0,0,1,0,0.5882352941176471
23,45000,7.0,5,11.71,0.32,0,4,0,0,0,0,0,0,0,1,0.8
23,75000,2.0,5,6.0,0.09,0,3,0,0,1,0,0,0,1,0,0.6
22,79000,3.0,6,7.88,0.13,0,2,0,0,1,0,0,0,0,0,0.5
25,48000,3.0,4,14.79,0.03,1,4,0,0,0,0,0,1,0,0,0.5714285714285714
23,62471,4.0,6,6.91,0.19,0,2,0,0,0,1,0,0,0,0,0.4
23,75000,5.0,5,12.42,0.28,0,2,0,1,0,0,0,0,1,0,0.4
23,130104,7.0,6,6.54,0.18,0,2,0,0,0,0,0,0,0,1,0.4
29,92700,2.0,6,6.91,0.26,0,8,0,0,0,0,0,0,0,1,0.7272727272727273
22,51480,4.0,5,11.83,0.06,0,2,0,0,0,0,0,0,1,0,0.5
22,62000,6.0,6,8.59,0.08,0,4,0,0,0,0,0,0,0,1,1.0
24,25000,0.0,6,6.76,0.18,0,3,0,0,1,0,0,0,0,0,0.5
24,60000,3.0,5,11.86,0.07,0,2,0,0,0,0,1,0,0,0,0.3333333333333333
22,24500,3.0,5,10.65,0.2,0,2,0,0,1,0,0,1,0,0,0.5
22,36000,1.0,4,12.68,0.14,0,4,0,0,1,1,0,0,0,0,1.0
24,72000,2.0,6,7.49,0.08,0,2,0,0,0,0,1,0,0,0,0.3333333333333333
22,95000,0.0,6,6.17,0.05,0,3,0,0,1,0,0,1,0,0,0.75
27,33000,9.0,5,10.0,0.15,0,10,0,0,1,0,0,0,1,0,1.1111111111111112
30,275000,14.0,5,11.71,0.03,0,10,0,0,0,1,0,0,0,0,0.8333333333333334
22,51000,3.0,5,10.99,0.3,0,4,0,0,0,1,0,0,0,0,1.0
37,52000,21.0,5,11.71,0.19,0,14,0,0,1,0,1,0,0,0,0.7368421052631579
23,56000,2.0,5,10.62,0.27,0,3,0,1,0,0,0,1,0,0,0.6
29,70000,13.0,3,14.42,0.23,1,6,0,0,1,0,0,0,1,0,0.5454545454545454
41,63000,1.0,6,8.0,0.02,0,17,0,0,1,0,0,0,1,0,0.7391304347826086
23,48000,1.0,6,5.42,0.09,0,4,0,0,1,0,0,0,0,1,0.8
25,95111,9.0,4,14.72,0.19,0,4,0,0,0,0,0,0,1,0,0.5714285714285714
33,58000,0.0,6,7.51,0.09,0,7,0,0,1,0,0,0,0,1,0.4666666666666667
31,39000,15.0,4,13.48,0.13,0,9,0,0,1,0,0,0,0,0,0.6923076923076923
22,53000,6.0,6,7.14,0.15,0,4,0,0,0,0,0,0,0,0,1.0
22,57860,1.0,4,11.41,0.35,0,3,0,0,0,1,0,0,0,0,0.75
43,54000,0.0,6,7.29,0.16,0,14,0,0,1,1,0,0,0,0,0.56
26,44000,4.0,6,8.9,0.11,0,3,0,0,1,0,0,1,0,0,0.375
32,37120,7.0,4,13.47,0.19,1,10,0,0,1,0,0,0,1,0,0.7142857142857143
22,100000,6.0,5,11.49,0.03,0,4,0,0,0,1,0,0,0,0,1.0
38,71000,14.0,5,8.88,0.21,0,15,0,0,1,0,0,1,0,0,0.75
24,31944,8.0,4,13.79,0.23,0,2,0,0,1,0,0,1,0,0,0.3333333333333333
24,33600,0.0,5,11.86,0.14,0,2,0,0,1,0,0,1,0,0,0.3333333333333333
41,23400,2.0,5,10.99,0.23,0,16,0,0,1,0,0,0,0,1,0.6956521739130435
22,50000,6.0,5,10.65,0.26,0,3,0,0,0,1,0,0,0,0,0.75
24,50000,8.0,4,14.72,0.24,1,3,0,0,1,0,1,0,0,0,0.5
25,105000,9.0,4,15.23,0.05,1,2,0,0,0,0,0,0,0,1,0.2857142857142857
24,36000,8.0,4,13.06,0.1,1,3,0,0,0,0,0,0,1,0,0.5
36,148000,6.0,3,14.11,0.07,0,13,0,0,0,0,0,0,0,0,0.7222222222222222
22,12000,0.0,6,7.66,0.56,0,4,0,0,1,0,0,1,0,0,1.0
26,47360,10.0,3,14.61,0.13,1,3,0,0,0,0,1,0,0,0,0.375
28,65007,4.0,1,18.62,0.38,1,9,0,0,0,0,0,0,0,0,0.9
22,74000,7.0,3,15.65,0.33,1,2,0,0,1,0,0,0,0,0,0.5
28,125000,8.0,5,11.14,0.06,0,10,0,0,0,1,0,0,0,0,1.0
41,65500,12.0,6,10.99,0.05,0,15,0,0,0,0,0,0,0,1,0.6521739130434783
30,54996,2.0,6,6.03,0.09,0,8,0,0,1,0,0,1,0,0,0.6666666666666666
22,24605,3.0,4,10.99,0.41,1,2,0,1,0,0,0,0,0,1,0.5
26,82000,5.0,5,10.99,0.1,0,3,0,0,1,0,0,0,0,1,0.375
23,64000,2.0,5,10.74,0.25,0,3,0,0,1,0,0,0,1,0,0.6
42,300000,26.0,6,9.63,0.05,0,15,0,0,1,0,0,1,0,0,0.625
23,75000,0.0,5,11.49,0.13,0,4,0,0,1,0,0,0,0,1,0.8
33,72000,4.0,6,6.99,0.07,0,7,0,0,0,0,0,0,0,1,0.4666666666666667
26,48000,1.0,4,10.99,0.31,1,2,0,0,1,0,0,0,1,0,0.25
22,55000,3.0,3,14.61,0.27,1,4,0,0,1,0,0,0,1,0,1.0
24,30500,2.0,1,21.74,0.22,1,3,0,0,1,1,0,0,0,0,0.5
23,50000,2.0,4,13.61,0.16,0,2,0,0,0,1,0,0,0,0,0.4
24,25000,2.0,6,8.94,0.2,0,2,0,0,1,0,0,0,0,0,0.3333333333333333
28,60000,2.0,5,12.18,0.2,0,10,0,0,1,0,0,0,1,0,1.0
29,76000,4.0,2,10.99,0.26,1,8,0,0,0,0,1,0,0,0,0.7272727272727273
34,39312,5.0,3,15.7,0.25,0,7,0,0,1,0,0,0,1,0,0.4375
22,42000,6.0,6,6.03,0.07,0,2,0,0,0,0,0,1,0,0,0.5
31,30000,2.0,5,10.75,0.1,0,7,0,1,0,0,1,0,0,0,0.5384615384615384
32,32000,2.0,4,10.78,0.13,1,5,0,1,0,0,0,0,0,1,0.35714285714285715
23,39996,6.0,5,9.63,0.3,0,2,0,0,1,0,0,0,1,0,0.4
29,80000,13.0,5,10.37,0.19,0,8,0,0,1,0,0,1,0,0,0.7272727272727273
23,34900,2.0,1,10.99,0.11,1,4,0,0,0,0,0,1,0,0,0.8
24,65000,5.0,6,6.03,0.14,0,4,0,0,1,0,1,0,0,0,0.6666666666666666
22,49000,4.0,6,6.91,0.34,0,4,0,0,0,0,0,0,1,0,1.0
23,112800,3.0,5,10.99,0.31,0,2,0,0,0,1,0,0,0,0,0.4
21,26000,1.0,5,11.58,0.09,0,4,0,0,1,0,0,0,1,0,1.3333333333333333
27,73000,11.0,6,5.79,0.14,0,8,0,0,0,0,0,0,1,0,0.8888888888888888
24,56000,3.0,5,12.21,0.18,0,2,0,0,1,0,0,1,0,0,0.3333333333333333
28,70356,12.0,5,11.11,0.09,0,5,0,0,0,1,0,0,0,0,0.5
27,62000,7.0,6,10.99,0.08,0,5,0,0,1,0,0,0,0,0,0.5555555555555556
24,56000,2.0,6,6.03,0.18,0,4,0,0,1,1,0,0,0,0,0.6666666666666666
30,37200,4.0,6,6.03,0.27,0,10,0,1,0,0,0,0,0,1,0.8333333333333334
29,125000,5.0,6,5.79,0.1,0,7,0,0,0,0,0,0,1,0,0.6363636363636364
39,110000,17.0,5,11.11,0.19,0,16,0,0,1,0,0,1,0,0,0.7619047619047619
33,135000,0.0,6,6.91,0.05,0,7,0,1,0,0,0,0,1,0,0.4666666666666667
32,45000,3.0,5,12.42,0.05,0,6,0,0,1,0,0,0,1,0,0.42857142857142855
32,30000,1.0,4,12.73,0.46,1,9,0,0,1,0,0,0,0,0,0.6428571428571429
24,56000,8.0,6,6.99,0.04,0,3,0,1,0,0,0,0,0,1,0.5
26,24000,5.0,6,6.62,0.25,0,4,0,0,1,0,0,0,0,0,0.5
27,65000,11.0,6,7.51,0.05,0,8,0,0,0,0,0,0,1,0,0.8888888888888888
21,13000,0.0,4,12.53,0.71,0,3,0,0,1,0,0,0,0,0,1.0
25,78600,0.0,4,13.48,0.11,0,4,0,0,1,0,0,1,0,0,0.5714285714285714
27,72000,4.0,4,13.22,0.28,0,9,0,0,1,0,1,0,0,0,1.0
40,14400,0.0,5,9.25,0.07,0,11,0,0,1,0,0,1,0,0,0.5
31,101000,3.0,6,7.9,0.2,0,10,0,0,1,0,0,0,0,0,0.7692307692307693
28,75000,1.0,6,9.63,0.16,0,7,0,0,1,0,1,0,0,0,0.7
35,31000,0.0,4,10.28,0.14,0,7,0,1,0,0,0,1,0,0,0.4117647058823529
22,100000,6.0,5,11.99,0.06,0,4,0,0,1,1,0,0,0,0,1.0
28,38196,5.0,5,10.75,0.28,0,10,0,0,0,0,0,1,0,0,1.0
31,46875,1.0,5,10.99,0.17,0,8,0,0,1,1,0,0,0,0,0.6153846153846154
23,35292,7.0,6,7.51,0.06,0,2,0,0,0,1,0,0,0,0,0.4
